transaction_id,account_id,customer_id,transaction_timestamp,transaction_hour,is_weekend,amount,currency,transaction_type,channel,status,merchant_id,merchant_name,merchant_category,merchant_city,merchant_country,device_id,device_type,is_new_device,ip_address,auth_method,is_card_present,is_foreign_transaction,distance_from_home_km,time_since_prev_txn_mins,txn_count_last_24h,txn_count_last_7d,amount_to_account_avg_ratio,balance_after_txn
TXN_0000796,ACC_000096,CUST_00069,2026-08-13 06:18:18,6,0,25.0,INR,,INTERNET_BANKING,SUCCESS,MER_8691,NEFT Beneficiary,FUND_TRANSFER,Kolkata,IN,DEV_426304,,1,49.57.192.223,BIOMETRIC,0,0,0.1,,0,0,,32219.78
TXN_0000974,ACC_000141,CUST_00096,2026-09-17 10:04:21,10,0,22574.7,INR,PURCHASE,POS,SUCCESS,MER_6761,Luxury Goods Direct,Jewellery,Mysuru,IN,DEV_789922,POS Terminal,0,,PIN,1,FALSE,692.1,177.0,1,1,7.321,-2882.84
TXN_0000795,ACC_000122,CUST_00086,2026-08-13 03:03:52,3,0,5166.58,INR,PAYMENT,INTERNET_BANKING,,MER_9568,UPI P2P Transfer,P2P_TRANSFER,Kochi,IN,DEV_308665,Android,0,49.45.37.237,BIOMETRIC,0,N,12.6,405.0,1,1,0.373,-5934.46
TXN_0000695,ACC_000035,CUST_00024,29/07/2026 18:07,18,0,14590.56,INR,,MOBILE_APP,SUCCESS,MER_2854,MakeMyTrip,TRAVEL,Delhi,IN,DEV_736450,iOS,1,49.45.191.121,OTP,0,FALSE,7.1,125.0,1,1,6.612,10841.67
TXN_0000588,ACC_000066,CUST_00045,2026-07-06 06:12:38,6,0,736.65,INR,TRANSFER,  MOBILE_APP ,FAILED,MER_6813,Jio Recharge,UTILITIES,Jaipur,IN,DEV_583232,Windows Desktop,1,49.33.86.11,PIN,0,0,14.6,131841.52,0,0,0.211,50355.22
TXN_0000011,ACC_000072,CUST_00050,2026-03-24 15:26:16,15,0,990.18,INR,TRANSFER,INTERNET_BANKING,SUCCESS,MER_6813,Jio Recharge,UTILITIES,Kolkata,IN,DEV_527288,Android,1,49.43.245.119,OTP,0,no,7.4,,0,0,,45828.8
TXN_0000849,ACC_000171,CUST_00116,2026-08-22 14:29:11,14,1,22953.62,INR,PURCHASE,POS,  FAILED ,MER_6761,Luxury Goods Direct,JEWELLERY,Chennai,IN,DEV_185321,POS Terminal,0,,,1,N,1299.8,72.0,1,1,0.921,67451.66
TXN_0000714,ACC_000034,CUST_00023,2026-08-02 08:46:42,8,1,7710.13,INR,TRANSFER,MOBILE_APP,SUCCESS,MER_9568,UPI P2P Transfer,P2P Transfer,Chennai,IN,DEV_811634,Windows Desktop,0,49.58.100.33,OTP,0,N,10.8,312.0,3,3,1.996,20048.99
TXN_0000515,ACC_000074,CUST_00052,2026-06-25 18:28:14,18,0,1615.32,INR,,POS,SUCCESS,MER_9194,PVR Cinemas,ENTERTAINMENT,Jaipur,IN,DEV_831400,  POS Terminal ,0,,PIN,1,0,0.9,5650.17,0,1,0.715,15706.57
TXN_0000299,ACC_000155,CUST_00103,2026-05-15 11:07:30,11,0,17744.43,INR,,POS,REVERSED,MER_5005,Tanishq Jewellers,JEWELLERY,,IN,DEV_889762,POS Terminal,1,,NONE,1,FALSE,507.3,31.55,1,1,0.073,18061.73
