account_id,customer_id,account_type,account_status,currency,open_date,close_date,branch_code,branch_city,current_balance,avg_monthly_balance_6m,credit_limit,credit_utilization_pct,overdraft_enabled,card_type,is_joint_account,num_linked_devices,mobile_banking_enrolled,last_login_date,avg_monthly_txn_count,account_tier
ACC_000001,CUST_00001,NRE,ACTIVE,INR,2016-08-26,,BR122,Gurugram,33507.22,22831.7,0.0,0.0,Y,GOLD,0,2,Y,2026-07-20,15,SILVER
ACC_000002,CUST_00001,SAVINGS,ACTIVE,INR,2019-03-31,,BR119,Gurugram,25171.02,32699.45,0.0,0.0,N,CLASSIC,0,1,Y,2026-06-15,18,SILVER
ACC_000003,CUST_00002,SAVINGS,DORMANT,INR,2022-03-24,,BR122,Gurugram,13569.59,8583.4,0.0,0.0,N,CLASSIC,0,1,Y,2026-07-23,29,SILVER
ACC_000004,CUST_00003,NRE,ACTIVE,INR,2018-05-18,,BR131,Indore,6150.0,8126.2,0.0,0.0,N,CLASSIC,0,3,Y,2026-09-05,28,BASIC
ACC_000005,CUST_00004,CURRENT,ACTIVE,INR,2019-10-21,,BR122,,38691.79,50101.9,0.0,0.0,N,NONE,0,3,Y,2026-08-11,15,GOLD
ACC_000006,CUST_00004,SAVINGS,ACTIVE,INR,2020-06-04,,BR119,Chandigarh,169059.43,197294.16,0.0,0.0,N,PLATINUM,0,2,Y,2026-07-11,8,SILVER
ACC_000007,CUST_00005,SAVINGS,ACTIVE,INR,2020-03-26,,BR135,Hyderabad,39100.81,32988.68,0.0,0.0,N,NONE,1,4,Y,2026-06-25,12,BASIC
ACC_000008,CUST_00006,NRE,ACTIVE,INR,2024-12-28,,,Noida,76650.06,106982.88,0.0,0.0,N,NONE,0,2,N,2026-06-15,16,SILVER
ACC_000009,CUST_00006,CURRENT,ACTIVE,INR,2018-10-29,,BR125,Noida,30923.39,45829.22,0.0,0.0,N,CLASSIC,1,4,Y,2026-08-24,25,SILVER
ACC_000010,CUST_00007,CREDIT_CARD,DORMANT,INR,2018-09-24,,BR139,Kochi,46700.76,40686.09,1000000.0,71.0,N,GOLD,1,5,N,2026-06-16,20,SILVER
ACC_000011,CUST_00007,SAVINGS,,INR,2025-03-05,,BR130,Kochi,19473.67,19994.63,0.0,0.0,Y,CLASSIC,1,1,N,2026-07-02,22,GOLD
ACC_000012,CUST_00008,CURRENT,ACTIVE,INR,2018-09-12,,BR105,Jaipur,69008.56,60329.64,0.0,0.0,Y,CLASSIC,0,3,N,2026-06-26,24,BASIC
ACC_000013,CUST_00008,SAVINGS,ACTIVE,INR,2020-09-07,,BR101,Jaipur,28219.89,22459.24,0.0,0.0,N,GOLD,0,2,Y,2026-09-13,17,SILVER
ACC_000014,CUST_00009,CREDIT_CARD,ACTIVE,INR,2020-07-29,,BR124,Pune,111529.49,114509.49,1000000.0,49.9,N,CLASSIC,0,2,Y,2026-09-06,25,BASIC
ACC_000015,CUST_00009,CURRENT,ACTIVE,INR,2025-11-24,,BR128,Pune,100664.28,119101.31,0.0,0.0,N,CLASSIC,0,3,Y,2026-06-06,31,PLATINUM
ACC_000016,CUST_00010,SAVINGS,ACTIVE,INR,2025-08-26,,BR105,Mumbai,13191.26,15346.86,0.0,0.0,N,CLASSIC,0,2,Y,2026-09-16,34,BASIC
ACC_000017,CUST_00011,SALARY,ACTIVE,INR,2018-04-08,,BR133,Mumbai,35503.31,50732.51,0.0,0.0,N,,0,4,Y,2026-07-30,14,
ACC_000018,CUST_00012,SAVINGS,ACTIVE,INR,2017-09-12,,BR110,Coimbatore,70005.66,95053.26,0.0,0.0,N,NONE,0,1,N,2026-09-17,19,SILVER
